,nickname,text,score,like,dislike,time,watch_movie
0,신효리(smse****),말이 필요 없이 꺼이꺼이 폭풍오열,10,402,21,2013-06-23 17:14:00,0
1,삐노까로(s906****),유치하고 뻔하지만 중간중간의 코믹요소로 웃음을 자아내는 동시에 순수한 사랑이야기에 눈물을 아니흘릴수가없었음. 무엇보다 남주인공의 조각같은 얼굴과 몸매가 소스로 곁들여 여성심리를 자극,10,312,22,2013-06-20 13:46:00,0
2,litt****,진부하지 않은 세련된 멜로뻔한 스토리지만 뻔하게 풀지않은 대사들이 여운을 남긴다,9,232,18,2013-06-20 22:36:00,0
3,후롤롤(devi****),한국감독이 만들어서인지 완전한국영화스럽던데..굳이 중국에서 만들필요가 있었을까..한국 선남선녀 배우들 출연해서 찍었으면 한국에서도 건축학개론 비슷하게 흥행했을거같은데..,9,258,77,2013-07-29 23:55:00,0
4,신비소설(wooc****),뻔하다고 하지만 나도 모르게 눈물이 난다.... 이별계약 상영관 좀 늘리자,10,144,14,2013-06-20 17:44:00,0
5,욤이(rooc****),펑위옌 기대된다! 청설도 재밌었는뎅,10,125,12,2013-06-20 12:05:00,0
6,untidy(kjm2****),유치하다 말은 해도 결국 울고 말 거야 - 저 아래 전문가님 평점 캐 공감ㅎㅎㅎㅎ,10,107,8,2013-06-27 10:02:00,0
7,nanu****,극장이 다 눈물바다. 생각한것보다 꽤 괜찮음,10,87,8,2013-06-22 21:03:00,0
8,IrisRossiibaker(aqsd****),전 슬프게 봣습니다... 비록 갈수록 좀 뻔하다곤 하지만... 그렇다고 안슬픈건 아니니까요.,9,76,9,2013-06-30 22:29:00,0
9,뽀라똘이(ahdz****),밤에혼자보느라끅끅대면서눈물콧물다나오고..진짜재밋어요ㅠㅠ,10,74,10,2014-08-03 01:24:00,0
10,윤짱(jmk6****),결말이 예상가도 다보고 나면 우는 영화,10,60,9,2014-07-08 19:18:00,0
11,jaso****,"뻔한스토리같지만, 그래도 눈물이 난다. 중간에 다소 어색한 편집에 몰입이 방해되긴하지만, 그래도 나름 재미있었다.",7,55,10,2013-07-02 23:40:00,0
12,맑은여름(summ****),"진부한 스토리일 수 있지만눈물을 닦고 있는 당신을 발견할 수도...감각적 영상과 사랑스러운 주인공, 뻔하지만 우리도 그런 순애보의 사랑을 해보고 싶기에.",9,49,11,2013-06-25 11:38:00,0
13,악한사람(inmo****),여주 옆모습 약간 수지삘나는거 나만그렇게 생각함?,10,42,10,2016-02-21 02:25:00,0
14,rehs****,뻔한줄거리이지만 눈물계속흘리며봤네요 남여주인공 신선하고 매력있네요,10,35,11,2013-06-23 11:09:00,0
15,j0527(jsj5****),스토리는 좀 식상했지만 식상한 스토리를 배우들의 연기력과 배우들의 애틋한 감정으로 잘 덮어줬다. 진짜 너무 감동적이고 또 다시 보고싶은영화,9,34,11,2014-01-02 01:19:00,0
16,혜안(gayo****),영화를 보는 내내 먹먹했다.엔딩크레딧이 올라가고 음악이 나오는데 울음을 멈출 수 없었다왜 이제서야 이 영화를 보게되었는지.. 꼭 봐야할 최고의 영화다,10,32,13,2014-06-20 23:40:00,0
17,aime****,'사랑이란'을 알려주는 영화이자 동시에 '이별이란'을 알려주는 영화이다.그리고...'사랑한다면 어떻게 해야할까'를 알려주는 영화이다,10,26,10,2014-07-19 20:36:00,0
