,nickname,text,score,like,dislike,time,watch_movie
0,qkqk****,하... 이영화 아침드라마인데 끊을수 없개만드네.... 영화배우 선택도 좋지만 내용전개가 좀만더 바뀌엇다면 더 좋았을것 같은 영화 하지만 이대로도 10점,10,0,0,2014-03-24 03:48:00,0
1,최련화(dusg****),뻔하지만 진한 여운이남는그런 영화...,10,0,0,2014-03-20 14:14:00,0
2,SigmaSeven(shis****),재밌다. 살짝 감동적이기도하다. 마지막 슬프다..  근데 스토리가 역시 한국스럽다. 처음부터 느꼇어...,10,0,0,2014-03-18 23:53:00,0
3,than****,뻔한스토리인데 눈에서는 눈물이...,7,0,0,2014-03-18 10:10:00,0
4,뉴초콜릿(tiff****),남자는 정말로 여자를 사랑했다.  청설2,10,0,0,2014-03-16 23:04:00,0
5,선애(z243****),식기 디자이너 그리고 최고의 셰프. 요소 하나하나 정말 좋았고. 보면서 그 장면 하나하나에 녹아들어갈 것 같았다. 정말 슬프다 슬프고 애잔한 그런 영화연기 둘 다 정말 잘해..,10,0,0,2014-03-13 03:30:00,0
6,yoonjee(hghg****),정말 재밋었어요 ㅜㅠ!,10,0,0,2014-03-06 03:55:00,0
7,앗(vvst****),걍 드라마로 보기에 좋다,9,0,0,2014-03-05 22:44:00,0
8,oo(whdd****),"조금 지루하고 진부한 면이 있긴 하지만 굉장히 아름다운 영화네요.. 중국, 대만의 이런 장르에서는 비슷한 느낌이 나는 듯.. 가끔 이런 느낌을 찾곤 하네요",8,0,0,2014-03-01 23:04:00,0
9,고냉이수(oojj****),가끔 멜로영화를 보고플 때가 있다. 그런 때 보면 감동이나 마음이 따뜻해 질 영화. 여주인공도 예쁘고 매력적이다.,7,0,0,2014-03-01 17:06:00,0
10,youn****,난10점 감동쩔어요 남자주인공 멋짐,10,0,0,2014-02-26 11:03:00,0
11,예원(wbdj****),스토리가 예상되면서도 슬펐다..지루할줄 알았는데 기대이상이였고 여주인공에게서 수지랑 김사랑이 자꾸 보였는데 그래도 우리나라배우들이 더이쁘다,7,0,0,2014-02-21 00:02:00,0
12,꿈을꾸는20대(leds****),유치하고 가짜 결혼이라는거 초반에 다 눈치챘지만 영상미도 좋고 두 배우의 아웅다웅 하는 애교와 사랑싸움이 보는 사람을 즐겁게 만든다. 그리고 두 배우의 연기력도 스토리를 더욱 더 재미있게 만든다.잘만든 로맨스 영화인...,10,0,0,2014-02-20 09:59:00,0
13,팔광(wwtw****),스토리가 뻔해도 울수밖에없는 영화,10,0,0,2014-02-18 18:02:00,0
14,카카(kwhb****),아름다운 장면들과 가슴을 울리는 장면들이 너무나 기억에 남는 영화네요~,9,0,0,2014-02-18 14:12:00,0
15,ksol****,최근 3년간 본 영화중 최고 멜로!9점 정도지만 평점조정을 위해...,10,0,0,2014-02-16 23:02:00,0
16,엔젤아이(magi****),영화 절반보다가 그후로는 운 기억밖에 안남... 7번방의 선물보다 더 오열했던 영화였고...정말 bb ㅠ,10,0,0,2014-02-12 21:53:00,0
17,여누(0104****),"뻔하지만 이 영화 영상미,느낌 참 좋다 ..♥여주 너무예쁘다 수지닮았는데 수지보다 더 예쁨",10,0,0,2014-02-11 19:52:00,0
18,wldu****,진짜재밌음  꼭보셈!!!!,9,0,0,2014-02-09 23:33:00,0
19,내카톡테마는푸우(shye****),뻔하긴 하지만 눈물자극하는 영화bb,10,0,0,2014-02-09 16:48:00,0
