형태소,품사,분류,카운트
,Foreign,나의 소녀시대,1
,Foreign,나의 소녀시대,1
,Foreign,그시절 우리가 좋아했던 소녀,2
,Foreign,시절인연,1
,Foreign,말할 수 없는 비밀,1
!,Foreign,나의 소녀시대,1
!,Punctuation,5일의마중,39
!,Punctuation,그시절 우리가 좋아했던 소녀,354
!,Punctuation,나의 소녀시대,299
!,Punctuation,말할 수 없는 비밀,2893
!,Punctuation,시절인연,36
!,Punctuation,청설,184
!,Punctuation,패왕별희,81
!!,Punctuation,5일의마중,12
!!,Punctuation,그시절 우리가 좋아했던 소녀,191
!!,Punctuation,나의 소녀시대,175
!!,Punctuation,말할 수 없는 비밀,2169
!!,Punctuation,시절인연,11
!!,Punctuation,청설,119
!!,Punctuation,패왕별희,40
!!!,Foreign,말할 수 없는 비밀,1
!!!,Punctuation,5일의마중,5
!!!,Punctuation,그시절 우리가 좋아했던 소녀,92
!!!,Punctuation,나의 소녀시대,71
!!!,Punctuation,말할 수 없는 비밀,834
!!!,Punctuation,시절인연,4
!!!,Punctuation,청설,35
!!!,Punctuation,패왕별희,15
!!!!,Punctuation,5일의마중,2
!!!!,Punctuation,그시절 우리가 좋아했던 소녀,37
!!!!,Punctuation,나의 소녀시대,26
!!!!,Punctuation,말할 수 없는 비밀,255
!!!!,Punctuation,시절인연,5
!!!!,Punctuation,청설,8
!!!!,Punctuation,패왕별희,7
!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,11
!!!!!,Punctuation,말할 수 없는 비밀,114
!!!!!,Punctuation,청설,5
!!!!!,Punctuation,패왕별희,1
!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!,Punctuation,말할 수 없는 비밀,59
!!!!!!,Punctuation,청설,1
!!!!!!!,Punctuation,말할 수 없는 비밀,53
!!!!!!!,Punctuation,청설,2
!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,2
!!!!!!!!,Punctuation,말할 수 없는 비밀,35
!!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!,Punctuation,말할 수 없는 비밀,41
!!!!!!!!!!,Punctuation,말할 수 없는 비밀,32
!!!!!!!!!!,Punctuation,청설,2
!!!!!!!!!!,Punctuation,패왕별희,1
!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,22
!!!!!!!!!!!,Punctuation,청설,1
!!!!!!!!!!!,Punctuation,패왕별희,1
!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,22
!!!!!!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,12
!!!!!!!!!!!!!,Punctuation,패왕별희,1
!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,14
!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,14
!!!!!!!!!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,4
!!!!!!!!!!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,14
!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,14
!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,8
!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,6
!!!!!!!!!!!!!!!!!!!!,Punctuation,청설,1
!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,5
!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,3
!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,6
!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,4
!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,4
!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,청설,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,4
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,그시절 우리가 좋아했던 소녀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,4
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,3
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,2
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Punctuation,말할 수 없는 비밀,1
!!!!!!!!!!!!!!!!!!!!!!!!!!!!',Punctuation,그시절 우리가 좋아했던 소녀,1
